ListSizes,TestResult
0,0
1000,1
2000,2
3000,3
4000,4
5000,5
6000,5
7000,6
8000,7
9000,8
10000,9
11000,10
12000,11
13000,13
14000,13
15000,16
16000,17
17000,18
18000,18
19000,19
20000,20
21000,20
22000,21
23000,21
24000,22
25000,23
26000,27
27000,25
28000,26
29000,29
30000,35
31000,31
32000,35
33000,33
34000,34
35000,37
36000,35
37000,35
38000,36
39000,36
40000,37
41000,39
42000,44
43000,47
44000,45
45000,45
46000,44
47000,43
48000,45
49000,47
50000,47
51000,48
52000,49
53000,50
54000,51
55000,52
56000,55
57000,57
58000,56
59000,55
60000,67
61000,63
62000,62
63000,62
64000,60
65000,62
66000,63
67000,63
68000,64
69000,64
70000,65
71000,67
72000,70
73000,70
74000,74
75000,78
76000,77
77000,78
78000,79
79000,79
80000,82
81000,80
82000,107
83000,92
84000,89
85000,98
86000,97
87000,100
88000,101
89000,92
90000,86
91000,88
92000,91
93000,87
94000,106
95000,103
96000,99
97000,102
98000,95
99000,94
100000,97
101000,94
102000,108
103000,112
104000,104
105000,99
106000,99
107000,101
108000,109
109000,114
110000,106
111000,110
112000,117
113000,113
114000,110
115000,108
116000,110
117000,114
118000,126
119000,120
120000,112
121000,124
122000,115
123000,122
124000,126
125000,133
126000,122
127000,118
128000,123
129000,128
130000,125
131000,128
132000,127
133000,146
134000,136
135000,143
136000,139
137000,128
138000,136
139000,142
140000,142
141000,134
142000,142
143000,143
144000,142
145000,139
146000,139
147000,140
148000,158
149000,160
150000,170
151000,178
152000,149
153000,143
154000,141
155000,144
156000,150
157000,163
158000,150
159000,150
160000,154
161000,155
162000,165
163000,166
164000,176
165000,169
166000,177
167000,172
168000,164
169000,171
170000,167
171000,167
172000,193
173000,180
174000,185
175000,171
176000,169
177000,163
178000,182
179000,206
180000,203
181000,205
182000,171
183000,171
184000,198
185000,184
186000,182
187000,182
188000,195
189000,187
190000,180
191000,188
192000,180
193000,178
194000,180
195000,182
196000,189
197000,190
198000,184
199000,187
