K,TestResult
0,0
1000,211
2000,232
3000,238
4000,247
5000,250
6000,262
7000,292
8000,298
9000,291
10000,291
11000,296
12000,290
13000,312
14000,306
15000,305
16000,297
17000,308
18000,302
19000,303
20000,297
21000,311
22000,322
23000,315
24000,366
25000,330
26000,340
27000,366
28000,341
29000,326
30000,345
31000,335
32000,337
33000,344
34000,344
35000,338
36000,358
37000,350
38000,360
39000,368
40000,389
41000,372
42000,363
43000,362
44000,355
45000,359
46000,363
47000,362
48000,373
49000,378
50000,379
51000,383
52000,404
53000,400
54000,402
55000,387
56000,402
57000,403
58000,405
59000,393
60000,389
61000,389
62000,394
63000,408
64000,403
65000,434
66000,395
67000,393
68000,399
69000,426
70000,420
71000,394
72000,403
73000,410
74000,394
75000,394
76000,403
77000,410
78000,408
79000,398
80000,412
81000,416
82000,408
83000,406
84000,419
85000,401
86000,426
87000,402
88000,414
89000,425
90000,406
91000,405
92000,426
93000,403
94000,449
95000,428
96000,425
97000,437
98000,442
99000,452
100000,427
101000,433
102000,428
103000,464
104000,464
105000,439
106000,433
107000,436
108000,417
109000,435
110000,435
111000,438
112000,468
113000,455
114000,458
115000,450
116000,465
117000,474
118000,481
119000,505
120000,485
121000,469
122000,479
123000,477
124000,507
125000,462
126000,475
127000,475
128000,463
129000,447
130000,472
131000,465
132000,453
133000,460
134000,473
135000,498
136000,449
137000,474
138000,478
139000,465
140000,458
141000,456
142000,482
143000,464
144000,519
145000,476
146000,513
147000,515
148000,476
149000,578
150000,465
151000,452
152000,459
153000,465
154000,459
155000,455
156000,486
157000,455
158000,467
159000,466
160000,468
161000,470
162000,479
163000,472
164000,457
165000,463
166000,470
167000,465
168000,467
169000,485
170000,481
171000,489
172000,501
173000,469
174000,481
175000,480
176000,495
177000,513
178000,513
179000,510
180000,549
181000,517
182000,501
183000,518
184000,494
185000,510
186000,492
187000,506
188000,498
189000,501
190000,495
191000,518
192000,493
193000,495
194000,505
195000,487
196000,493
197000,502
198000,498
199000,487
