DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,0,1,1
2000,1,1,2
3000,2,2,3
4000,3,2,4
5000,5,3,5
6000,6,3,5
7000,10,5,7
8000,11,6,9
9000,13,6,11
10000,15,7,9
11000,20,8,9
12000,24,7,10
13000,34,12,17
14000,39,15,17
15000,42,15,18
16000,52,16,18
17000,63,18,19
18000,96,19,19
19000,76,19,21
20000,82,21,20
21000,94,22,21
22000,105,24,22
23000,131,27,22
24000,140,29,23
25000,138,30,24
26000,192,46,37
27000,236,48,38
28000,233,51,39
29000,265,54,40
30000,291,56,45
31000,300,63,41
32000,305,61,43
33000,331,66,43
34000,321,69,43
35000,342,76,45
36000,406,79,45
37000,371,82,47
38000,401,88,46
39000,422,92,47
40000,482,99,53
41000,505,102,49
42000,534,105,49
43000,574,111,52
44000,579,116,51
45000,644,121,51
46000,677,126,55
47000,728,134,53
48000,761,140,54
49000,778,146,57
50000,773,153,68
51000,785,161,58
52000,1056,208,86
53000,1198,218,87
54000,1172,223,88
55000,1153,230,88
56000,1271,231,91
57000,1318,248,91
58000,1364,257,92
59000,1333,257,93
60000,1485,274,93
61000,1560,279,93
62000,1505,284,91
63000,1606,301,92
64000,1647,313,99
65000,1585,323,104
66000,1665,333,96
67000,1703,337,100
68000,1749,359,97
69000,1828,397,101
70000,1811,372,100
71000,1973,392,101
72000,2312,397,112
73000,2308,416,103
74000,2631,429,103
75000,2617,421,104
76000,2696,457,105
77000,2630,455,107
78000,2580,473,106
79000,2775,493,111
